2020-09-25 01:39:06,970:__main__:<Response [200]>
2020-09-25 01:39:07,047:__main__:Extracting dates and numbers
2020-09-25 01:39:07,059:__main__:Appending to DataFrame
2020-09-25 01:39:07,063:__main__:Adding date feature
2020-09-25 01:39:07,066:__main__:Adding odd-even feature
2020-09-25 01:39:07,382:__main__:Reading historical data
2020-09-25 01:39:07,384:__main__:Latest date would be: 0   2020-09-19
Name: Date, dtype: datetime64[ns]
2020-09-25 01:39:08,802:__main__:Adding newest date: 0   2020-09-24
Name: Date, dtype: datetime64[ns]
2020-09-25 01:39:08,803:__main__:Newest winning number: 0    07,09,12,18,29,38
Name: Winning Numbers, dtype: object
